Hood_ID,Lat,Long
68,43.67049236,-79.35034694
24,43.76373861,-79.5191616
30,43.69947236,-79.49024382
4,43.720699,-79.56595747
114,43.65983057,-79.49796243
73,43.6565943,-79.37017109
64,43.67449356,-79.31635323
79,43.65962257,-79.40306197
34,43.76238782,-79.45636738
132,43.80426274,-79.22158286
87,43.64267551,-79.46643602
61,43.6948615,-79.29658887
72,43.65930774,-79.36175303
75,43.65871884,-79.38041872
78,43.65216065,-79.39815487
122,43.69670006,-79.26300911
22,43.74412362,-79.54271526
70,43.65955108,-79.34204761
127,43.76203839,-79.25901715
107,43.68989275,-79.44161554
76,43.65439539,-79.38419793
77,43.64467068,-79.38871783
40,43.75423259,-79.38205342
71,43.66477467,-79.37021693
136,43.7667422,-79.1876376
121,43.69510364,-79.28242957
1,43.72031121,-79.59802895
119,43.74421074,-79.3014815
52,43.77238231,-79.37637732
41,43.73071604,-79.3847356
25,43.74696245,-79.51422303
95,43.66947687,-79.40347548
53,43.77209855,-79.34118148
125,43.73291498,-79.27322122
45,43.75614556,-79.3293011
116,43.81337146,-79.32185364
118,43.77947231,-79.3034664
43,43.72463143,-79.30904805
21,43.75588075,-79.55797505
139,43.74170849,-79.22024892
8,43.69098045,-79.52127867
51,43.76892866,-79.40748867
103,43.71578155,-79.40804404
137,43.76625345,-79.22844217
23,43.71746871,-79.52957974
138,43.73844703,-79.24800004
54,43.70581213,-79.30304123
18,43.60039897,-79.50978704
44,43.715345,-79.33189675
117,43.79379145,-79.31632882
85,43.63752076,-79.43325441
115,43.68820452,-79.49707746
59,43.68851407,-79.3339869
135,43.78036836,-79.20550342
57,43.68803645,-79.35388785
102,43.70250479,-79.42910946
120,43.71275767,-79.28252325
26,43.72667617,-79.49934926
14,43.63394893,-79.54117013
126,43.75989099,-79.28151262
48,43.7991787,-79.35863806
113,43.70162815,-79.51770536
50,43.78810996,-79.41294495
108,43.69789004,-79.44880309
39,43.72720383,-79.42412547
81,43.64767495,-79.41541258
99,43.70778766,-79.38768625
130,43.81941431,-79.28182321
100,43.70504346,-79.40386536
93,43.66344915,-79.43807796
60,43.69326197,-79.31358474
129,43.80664211,-79.27307771
11,43.6557097,-79.57701893
31,43.71663118,-79.45435209
96,43.68154883,-79.41288519
86,43.64312385,-79.44055365
46,43.78606897,-79.33504881
112,43.69245439,-79.47528725
65,43.6716526,-79.32494367
2,43.7451921,-79.58839882
134,43.78961084,-79.17891734
15,43.6511432,-79.51032523
29,43.71266943,-79.48061653
128,43.78715081,-79.26969308
47,43.78060067,-79.35032502
36,43.78519433,-79.43400399
82,43.63813105,-79.41202019
91,43.67282443,-79.45940723
124,43.72609662,-79.25955806
33,43.7392241,-79.4458766
62,43.68479972,-79.30055743
109,43.68845454,-79.45488405
98,43.67727605,-79.38496221
140,43.74895432,-79.1995633
131,43.81004227,-79.19150254
74,43.66850665,-79.3749681
38,43.75099813,-79.42588308
32,43.72126182,-79.43851672
9,43.66921238,-79.52224451
42,43.73456166,-79.34499391
94,43.67864653,-79.42674969
17,43.61568274,-79.49936612
6,43.69661306,-79.5514212
19,43.59298594,-79.53320629
35,43.78167274,-79.45046126
123,43.72097185,-79.23811394
5,43.72071069,-79.55204303
66,43.68212036,-79.33222518
20,43.60548729,-79.54188082
88,43.65582791,-79.46483351
67,43.67805678,-79.35479331
27,43.76270316,-79.49077538
16,43.63247212,-79.50062523
55,43.7061273,-79.34794009
111,43.67509771,-79.48952886
7,43.68199815,-79.55670292
104,43.70530808,-79.39582379
56,43.70692069,-79.36961864
12,43.63318621,-79.57334038
90,43.66751545,-79.47095191
110,43.68449484,-79.47056188
3,43.73854495,-79.56872047
37,43.77112774,-79.42630842
105,43.72904915,-79.40504278
92,43.67729643,-79.44506054
58,43.6929067,-79.34060772
69,43.67456834,-79.34011281
101,43.69241172,-79.41604067
28,43.70957829,-79.50212075
63,43.67021099,-79.30049256
84,43.64675337,-79.42880579
83,43.65437829,-79.43683367
97,43.68911659,-79.39900977
89,43.65816575,-79.4867418
133,43.78173952,-79.14947199
106,43.68853999,-79.42599039
80,43.65708492,-79.41797696
10,43.66740961,-79.54735728
13,43.64417931,-79.56760714
49,43.79594623,-79.38296989
