PROVIDER,ADDRESS,FACI_NAM,POSTAL_CD,X,Y,LONGITUDE,RID
"Toronto Police Services","40 College Street","Headquarters","M5G 2J3",314048.032,4835495.99,-79.3851429052,1
"Toronto Police Services","330 Progress Avenue","Parking Enforcement East/Headquarters","M1P 2Z4",323417.58,4848048.767,-79.2685386604,2
"Toronto Police Services","970 Lawrence Avenue West","Parking Enforcement West","M6A 3B6",308145.401,4841312.184,-79.4582923656,3
"Toronto Police Services","259 Queens Quay West","Marine Headquarters","M5V 1A2",313992.66,4832886.414,-79.3858740468,4
"Toronto Police Services","2050 Jane Street Building B","Fleet/Garage Storage/Radio & Electronics","M9N 2V3",304041.971,4841592.458,-79.5092148433,5
"Toronto Police Services","2050 Jane Street Bld. A","Forensics Identification Services (FIS)","M9N 2V3",304041.971,4841592.458,-79.5092148433,6
"Toronto Police Services","951 Wilson Avenue","Telecom","M3K 2A7",306771.107,4842896.668,-79.4753415367,7
"Toronto Police Services","44 Beechwood Avenue","Police Dog Services","M2L 1J3",313197.662,4844770.209,-79.3955425799,8
"Toronto Police Services","40 Toryork Drive","Police Vehicle Operations","M9L 1X6",301146.77,4845844.589,-79.5451744898,9
"Toronto Police Services","18 Cranfield Road","Cranfield Garage","M4B 3G7",319774.651,4840962.567,-79.3139887473,10
"Toronto Police Services","2054 Davenport Road","11 Division","M6N 1C8",307943.174,4836570.406,-79.460825072,11
"Toronto Police Services","200 Trethewey Drive","12 Division","M6M 5E6",305842.382,4839180.461,-79.4868758078,12
"Toronto Police Services","1435 Eglinton Avenue West","13 Division","M6C 3Z4",309888.062,4839598.678,-79.4366830175,13
"Toronto Police Services","350 Dovercourt Road","14 Division","M6J 3E3",310755.319,4834375.443,-79.425977954,14
"Toronto Police Services","3699 Bloor Street West","22 Division","M9A 1A2",302429.72,4833462.6,-79.5291845555,15
"Toronto Police Services","5230 Finch Avenue West","23 Division","M9V 0A1",298057.495,4844659.363,-79.5835216889,16
"Toronto Police Services","40 Norfinch Drive","31 Division","M3N 1X1",302572.232,4846087.669,-79.5274742833,17
"Toronto Police Services","30 Ellerslie Avenue","32 Division","M2N 1X8",311620.516,4847754.699,-79.415083932,18
"Toronto Police Services","50 Upjohn Road","33 Division","M3B 2W1",316858.909,4845468.351,-79.3500686628,19
"Toronto Police Services","2222 Eglinton Avenue East","41 Division","M1K 2M2",322740.421,4843228.904,-79.2771104532,20
"Toronto Police Services","242 Milner Avenue","42 Division","M1S 5C4",325708.742,4849744.237,-79.2400121067,21
"Toronto Police Services","4331 Lawrence Avenue East","43 Division","M1E 2T4",331024.939,4847703.338,-79.174053415,22
"Toronto Police Services","51 Parliament Street","51 Division","M5A 2Y5",315904.847,4834453.786,-79.3621422367,23
"Toronto Police Services","255 Dundas Street West","52 Division","M5T 2W5",313680.155,4834701.283,-79.389717591,24
"Toronto Police Services","75 Eglinton Avenue West","53 Division","M4R 2G9",312790.492,4840460.658,-79.4006618061,25
"Toronto Police Services","41 Cranfield Road","54 Division","M4B 3H6",320136.703,4841423.083,-79.3094827688,26
"Toronto Police Services","101 Coxwell Avenue","55 Division","M4L 3B3",319517.89,4836374.719,-79.3172993478,27
"Toronto Police Services","9 Hanna Avenue","Traffic Services/Central Garage","M6K 1W8",311463.216,4832856.944,-79.4172240429,28
"Toronto Police Services","39 Howden Road","East Collision Reporting Centre","M1R 3C7",321838.715,4845309.62,-79.2882379025,29
"Toronto Police Services","113 Toryork Drive","North Collision Reporting Centre","M9L 1X9",300634.672,4846050.694,-79.5515352094,30
"Toronto Police Services","91 Manitoba Drive","Mounted Unit","M6K 3C3",311392.963,4832594.168,-79.418094559,31
"Toronto Police Services","70 Birmingham Street","Toronto Police College","M8V 3W6",304503.218,4829238.015,-79.5034823784,32

